no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_to_income_ratio,total_assets_value,loan_to_asset_ratio
1,Not Graduate,Yes,3900000,7800000,14,349,11200000,500000,11800000,3600000,0,2.0,27100000,0.2878228782287823
0,Graduate,No,1100000,3300000,10,482,2800000,300000,2900000,1600000,0,3.0,7600000,0.4342105263157895
2,Graduate,No,2500000,8200000,10,429,1500000,4100000,5900000,2200000,0,3.28,13700000,0.5985401459854015
4,Graduate,No,500000,1300000,8,471,500000,300000,1500000,700000,0,2.6,3000000,0.43333333333333335
0,Graduate,Yes,9000000,32400000,10,895,16800000,5800000,20700000,9500000,1,3.6,52800000,0.6136363636363636
1,Not Graduate,Yes,5100000,20300000,18,757,11800000,3400000,13400000,3200000,1,3.980392156862745,31800000,0.6383647798742138
2,Graduate,No,5200000,13500000,2,777,7000000,5200000,15500000,6100000,1,2.5961538461538463,33800000,0.3994082840236686
5,Not Graduate,Yes,4400000,8900000,4,761,8100000,1000000,14200000,3000000,1,2.022727272727273,26300000,0.33840304182509506
1,Graduate,No,1900000,4200000,12,821,5200000,1500000,5000000,2700000,1,2.210526315789474,14400000,0.2916666666666667
4,Not Graduate,Yes,9200000,26500000,6,662,1000000,400000,26900000,5300000,1,2.880434782608696,33600000,0.7886904761904762
2,Not Graduate,Yes,4800000,16500000,10,350,2000000,6500000,11400000,2900000,0,3.4375,22800000,0.7236842105263158
4,Not Graduate,No,4900000,10700000,20,321,1200000,400000,11100000,6500000,0,2.183673469387755,19200000,0.5572916666666666
3,Graduate,Yes,4800000,10100000,4,368,9100000,5100000,16500000,3500000,0,2.1041666666666665,34200000,0.2953216374269006
4,Graduate,No,9300000,24900000,14,455,27600000,4700000,35100000,13900000,0,2.6774193548387095,81300000,0.3062730627306273
5,Not Graduate,Yes,7500000,24600000,8,744,1600000,3600000,16700000,9300000,1,3.28,31200000,0.7884615384615384
1,Graduate,No,5900000,16800000,4,806,11200000,9700000,22800000,7100000,1,2.847457627118644,50800000,0.33070866141732286
0,Graduate,No,9400000,27900000,6,456,21400000,18500000,35600000,7800000,0,2.9680851063829787,83300000,0.3349339735894358
5,Graduate,No,5300000,13400000,8,719,1600000,200000,11400000,5300000,1,2.5283018867924527,18500000,0.7243243243243244
4,Graduate,No,3700000,9000000,18,668,7800000,1600000,13400000,3100000,1,2.4324324324324325,25900000,0.3474903474903475
0,Graduate,Yes,2500000,5800000,18,494,5100000,4400000,8500000,2300000,0,2.32,20300000,0.2857142857142857
4,Not Graduate,No,2800000,10800000,2,841,700000,2600000,7100000,4100000,1,3.857142857142857,14500000,0.7448275862068966
0,Graduate,Yes,5400000,21400000,8,721,8200000,6400000,16700000,7400000,1,3.962962962962963,38700000,0.5529715762273901
5,Graduate,No,3100000,9400000,10,414,200000,5300000,8000000,2800000,0,3.032258064516129,16300000,0.5766871165644172
5,Not Graduate,No,4800000,15500000,10,812,9500000,1500000,17800000,3500000,1,3.2291666666666665,32300000,0.47987616099071206
1,Not Graduate,No,8800000,17500000,20,832,1800000,3600000,24000000,7400000,1,1.9886363636363635,36800000,0.47554347826086957
2,Graduate,No,4100000,14900000,12,571,-100000,5200000,13000000,3400000,1,3.6341463414634148,21500000,0.6930232558139535
5,Not Graduate,No,9700000,37000000,14,459,28700000,17900000,22800000,5600000,0,3.814432989690722,75000000,0.49333333333333335
2,Graduate,Yes,6400000,24100000,6,592,2500000,6300000,20200000,6000000,1,3.765625,35000000,0.6885714285714286
5,Graduate,No,3400000,13100000,20,527,900000,4500000,8600000,4000000,0,3.8529411764705883,18000000,0.7277777777777777
4,Not Graduate,No,3500000,10200000,12,333,7600000,6400000,8100000,3400000,0,2.914285714285714,25500000,0.4
3,Not Graduate,No,3200000,10000000,18,532,3300000,100000,9800000,2100000,0,3.125,15300000,0.6535947712418301
2,Graduate,Yes,4900000,13100000,18,754,8200000,3300000,16500000,7200000,1,2.673469387755102,35200000,0.3721590909090909
0,Graduate,Yes,1300000,4800000,4,835,500000,100000,3300000,800000,0,3.6923076923076925,4700000,1.0212765957446808
4,Graduate,No,2500000,5400000,10,592,3400000,1500000,9900000,2900000,1,2.16,17700000,0.3050847457627119
0,Graduate,No,7500000,27300000,20,553,11600000,2800000,26200000,6100000,1,3.64,46700000,0.5845824411134903
2,Graduate,No,700000,2000000,8,806,1900000,1100000,2200000,400000,1,2.857142857142857,5600000,0.35714285714285715
4,Graduate,Yes,8200000,28500000,2,378,6800000,11200000,26400000,11500000,1,3.475609756097561,55900000,0.5098389982110912
1,Not Graduate,No,6900000,26200000,4,534,14500000,11900000,14900000,9400000,1,3.7971014492753623,50700000,0.5167652859960552
1,Not Graduate,Yes,1500000,5900000,16,400,4200000,2400000,4800000,1500000,0,3.933333333333333,12900000,0.4573643410852713
3,Graduate,No,6300000,18300000,18,543,1800000,9400000,17700000,3500000,0,2.9047619047619047,32400000,0.5648148148148148
0,Not Graduate,Yes,8800000,25600000,10,715,25300000,2500000,34900000,8600000,1,2.909090909090909,71300000,0.3590462833099579
4,Graduate,Yes,8900000,20700000,6,684,1100000,9200000,20400000,6700000,1,2.3258426966292136,37400000,0.553475935828877
3,Not Graduate,Yes,2100000,6100000,8,346,5500000,600000,4500000,2900000,0,2.9047619047619047,13500000,0.45185185185185184
1,Graduate,Yes,9200000,29200000,6,669,9900000,12900000,23400000,11700000,1,3.1739130434782608,57900000,0.5043177892918825
2,Not Graduate,No,3600000,8000000,12,566,10500000,3000000,8900000,2700000,1,2.2222222222222223,25100000,0.3187250996015936
0,Not Graduate,Yes,8600000,23600000,2,361,25800000,5300000,24700000,7500000,0,2.744186046511628,63300000,0.37282780410742494
5,Graduate,No,3000000,8000000,6,333,3200000,400000,8200000,2200000,0,2.6666666666666665,14000000,0.5714285714285714
3,Not Graduate,Yes,5200000,16300000,8,335,9500000,7000000,13600000,7300000,0,3.1346153846153846,37400000,0.4358288770053476
3,Graduate,Yes,7200000,20400000,10,558,0,13200000,27200000,10600000,1,2.8333333333333335,51000000,0.4
1,Not Graduate,Yes,4000000,15600000,12,436,10400000,2800000,14800000,3200000,0,3.9,31200000,0.5
1,Not Graduate,No,2400000,5200000,2,371,6100000,3100000,8500000,1400000,0,2.1666666666666665,19100000,0.27225130890052357
2,Not Graduate,Yes,5500000,18400000,10,515,6800000,4400000,18500000,4100000,0,3.3454545454545452,33800000,0.5443786982248521
0,Not Graduate,Yes,9000000,24300000,10,599,12900000,3400000,26900000,6400000,1,2.7,49600000,0.4899193548387097
0,Not Graduate,Yes,7900000,24000000,20,728,18600000,15600000,21800000,7400000,1,3.037974683544304,63400000,0.3785488958990536
2,Not Graduate,Yes,6200000,21600000,20,679,18600000,2500000,24500000,9100000,1,3.4838709677419355,54700000,0.39488117001828155
3,Graduate,Yes,7900000,29200000,4,399,23200000,5500000,30200000,6900000,1,3.6962025316455698,65800000,0.44376899696048633
3,Not Graduate,No,1200000,4500000,6,819,1400000,1100000,4400000,900000,1,3.75,7800000,0.5769230769230769
1,Graduate,No,4700000,11700000,6,308,11800000,1100000,15100000,3700000,0,2.4893617021276597,31700000,0.36908517350157727
5,Graduate,Yes,5900000,15600000,2,730,12600000,4700000,15900000,5900000,1,2.6440677966101696,39100000,0.3989769820971867
4,Not Graduate,Yes,1400000,5100000,14,312,4000000,1000000,3200000,1400000,0,3.642857142857143,9600000,0.53125
3,Not Graduate,Yes,4700000,12800000,16,740,2200000,8600000,11700000,6100000,1,2.723404255319149,28600000,0.44755244755244755
5,Graduate,Yes,7600000,20000000,10,522,21500000,1400000,20400000,4300000,0,2.6315789473684212,47600000,0.42016806722689076
4,Graduate,No,7200000,16900000,4,702,15900000,7100000,22000000,9600000,1,2.3472222222222223,54600000,0.30952380952380953
4,Not Graduate,Yes,1400000,4300000,16,447,3600000,1200000,5300000,1000000,0,3.0714285714285716,11100000,0.38738738738738737
5,Graduate,No,1400000,2900000,4,829,800000,600000,5400000,1600000,1,2.0714285714285716,8400000,0.34523809523809523
2,Graduate,No,7900000,18500000,18,727,20200000,12400000,19600000,7100000,1,2.3417721518987342,59300000,0.31197301854974707
5,Not Graduate,Yes,7600000,18700000,14,509,8500000,8500000,22200000,3700000,0,2.460526315789474,42900000,0.4358974358974359
3,Graduate,Yes,9600000,34200000,2,745,2500000,2000000,33000000,6700000,1,3.5625,44200000,0.7737556561085973
1,Not Graduate,No,2300000,6600000,18,513,4600000,900000,9000000,1600000,0,2.869565217391304,16100000,0.40993788819875776
2,Not Graduate,No,8100000,18500000,6,372,19100000,10200000,31000000,7900000,0,2.2839506172839505,68200000,0.27126099706744866
2,Graduate,Yes,300000,700000,4,411,600000,0,1200000,100000,0,2.3333333333333335,1900000,0.3684210526315789
4,Graduate,No,4700000,10800000,20,495,11300000,6800000,17000000,4500000,0,2.297872340425532,39600000,0.2727272727272727
5,Not Graduate,No,1100000,2500000,4,827,2400000,1000000,4100000,600000,1,2.272727272727273,8100000,0.30864197530864196
4,Not Graduate,No,8600000,25100000,6,820,14400000,5000000,26000000,8300000,1,2.9186046511627906,53700000,0.46741154562383613
5,Graduate,Yes,8700000,28100000,10,660,25500000,800000,25900000,10100000,1,3.2298850574712645,62300000,0.4510433386837881
0,Not Graduate,No,2200000,8600000,4,563,900000,1000000,4400000,2800000,1,3.909090909090909,9100000,0.945054945054945
1,Not Graduate,Yes,500000,1400000,10,883,900000,0,1700000,300000,1,2.8,2900000,0.4827586206896552
0,Not Graduate,Yes,9100000,22000000,12,387,25300000,15600000,31700000,7000000,0,2.4175824175824174,79600000,0.27638190954773867
1,Graduate,No,2200000,8700000,12,613,500000,1800000,5700000,2400000,1,3.9545454545454546,10400000,0.8365384615384616
0,Not Graduate,Yes,2200000,8000000,14,335,2800000,3700000,6900000,2900000,0,3.6363636363636362,16300000,0.49079754601226994
1,Graduate,Yes,9600000,34500000,2,795,9500000,900000,32000000,9300000,1,3.59375,51700000,0.6673114119922631
1,Graduate,Yes,6500000,13900000,8,369,9600000,300000,17200000,8300000,0,2.1384615384615384,35400000,0.3926553672316384
4,Graduate,Yes,2400000,7400000,18,888,2700000,1600000,7600000,3200000,1,3.0833333333333335,15100000,0.4900662251655629
4,Not Graduate,No,5500000,12300000,6,742,12900000,2700000,19800000,4300000,1,2.2363636363636363,39700000,0.30982367758186397
0,Graduate,No,5000000,14400000,4,874,3000000,9300000,14100000,3900000,1,2.88,30300000,0.4752475247524752
1,Graduate,No,2700000,8100000,16,691,2000000,3600000,8100000,2100000,1,3.0,15800000,0.5126582278481012
3,Not Graduate,Yes,8500000,30300000,12,762,12700000,3700000,20000000,4200000,1,3.5647058823529414,40600000,0.7463054187192119
1,Graduate,No,4400000,10700000,18,324,2200000,3300000,12700000,5400000,0,2.4318181818181817,23600000,0.4533898305084746
4,Not Graduate,No,500000,1800000,20,777,900000,300000,1300000,200000,1,3.6,2700000,0.6666666666666666
0,Graduate,No,8300000,21400000,2,662,6100000,12300000,24500000,10200000,1,2.5783132530120483,53100000,0.4030131826741996
2,Not Graduate,Yes,6000000,13000000,12,462,2100000,2500000,14600000,5600000,0,2.1666666666666665,24800000,0.5241935483870968
3,Not Graduate,Yes,4000000,10400000,14,609,2100000,6900000,11700000,4600000,1,2.6,25300000,0.41106719367588934
5,Graduate,Yes,4400000,11700000,20,590,900000,2700000,15500000,2300000,1,2.659090909090909,21400000,0.5467289719626168
3,Graduate,Yes,4400000,15800000,18,779,7200000,5400000,14900000,3600000,1,3.590909090909091,31100000,0.5080385852090032
2,Graduate,Yes,1900000,5000000,14,641,1000000,900000,5500000,2400000,1,2.6315789473684212,9800000,0.5102040816326531
0,Graduate,Yes,5000000,18400000,12,752,14600000,4000000,10500000,6500000,1,3.68,35600000,0.5168539325842697
0,Graduate,No,8000000,23700000,10,305,22200000,11600000,17200000,12000000,0,2.9625,63000000,0.3761904761904762
4,Not Graduate,No,8200000,20700000,10,546,10800000,7000000,25000000,10600000,0,2.524390243902439,53400000,0.38764044943820225
2,Graduate,No,7000000,24200000,8,833,13700000,4100000,26100000,9100000,1,3.4571428571428573,53000000,0.45660377358490567
2,Not Graduate,No,2400000,8800000,18,421,3200000,1500000,6700000,1400000,0,3.6666666666666665,12800000,0.6875
5,Graduate,No,6600000,18800000,4,639,3200000,1100000,25100000,4300000,1,2.8484848484848486,33700000,0.5578635014836796
3,Graduate,No,3200000,6900000,20,735,1500000,3700000,9200000,3100000,1,2.15625,17500000,0.3942857142857143
0,Not Graduate,Yes,2600000,5400000,2,377,100000,4900000,6100000,2700000,0,2.076923076923077,13800000,0.391304347826087
3,Not Graduate,No,6900000,15600000,20,310,4500000,3600000,20400000,4800000,0,2.260869565217391,33300000,0.46846846846846846
4,Graduate,No,4800000,14000000,2,695,11300000,1700000,15400000,4600000,1,2.9166666666666665,33000000,0.42424242424242425
1,Not Graduate,Yes,300000,1200000,4,355,700000,300000,800000,200000,1,4.0,2000000,0.6
1,Not Graduate,Yes,4300000,14100000,12,525,2100000,1100000,14100000,5500000,0,3.2790697674418605,22800000,0.618421052631579
5,Not Graduate,No,700000,2400000,20,330,1300000,700000,2500000,500000,0,3.4285714285714284,5000000,0.48
5,Graduate,No,9400000,25800000,14,625,28200000,15400000,30800000,11100000,1,2.74468085106383,85500000,0.3017543859649123
3,Not Graduate,Yes,800000,2900000,10,644,600000,500000,2900000,400000,1,3.625,4400000,0.6590909090909091
5,Not Graduate,No,4400000,14900000,4,865,8200000,6200000,14900000,3500000,1,3.3863636363636362,32800000,0.45426829268292684
1,Graduate,Yes,4700000,14800000,6,661,8500000,6000000,13600000,6400000,1,3.148936170212766,34500000,0.4289855072463768
2,Not Graduate,No,2300000,5000000,8,884,1400000,1700000,6100000,1500000,1,2.1739130434782608,10700000,0.4672897196261682
5,Graduate,Yes,8500000,26700000,10,803,500000,16600000,24400000,9600000,1,3.1411764705882352,51100000,0.5225048923679061
2,Graduate,No,7600000,28300000,12,800,19700000,14800000,15600000,7800000,1,3.723684210526316,57900000,0.48877374784110533
2,Graduate,No,3200000,12600000,18,796,6200000,3500000,9600000,2000000,1,3.9375,21300000,0.5915492957746479
4,Not Graduate,No,2400000,5000000,4,716,1500000,2800000,6900000,1400000,1,2.0833333333333335,12600000,0.3968253968253968
0,Graduate,Yes,500000,1100000,18,479,1500000,500000,1800000,600000,0,2.2,4400000,0.25
3,Not Graduate,Yes,8500000,28300000,2,810,25200000,4300000,18500000,10700000,1,3.3294117647058825,58700000,0.48211243611584326
0,Graduate,Yes,8900000,20900000,18,568,18800000,700000,32700000,5300000,1,2.348314606741573,57500000,0.3634782608695652
0,Graduate,No,2800000,5600000,8,842,0,1300000,6100000,1900000,1,2.0,9300000,0.6021505376344086
3,Not Graduate,Yes,2900000,7000000,4,806,5700000,5600000,5900000,3000000,1,2.413793103448276,20200000,0.3465346534653465
1,Graduate,Yes,4900000,17700000,8,722,9200000,7300000,16400000,3000000,1,3.6122448979591835,35900000,0.49303621169916434
5,Not Graduate,No,9600000,20700000,14,442,25800000,9800000,31800000,8200000,0,2.15625,75600000,0.27380952380952384
3,Graduate,Yes,3300000,9800000,6,360,4500000,600000,11000000,4400000,0,2.9696969696969697,20500000,0.47804878048780486
3,Not Graduate,No,2800000,5900000,4,461,1600000,400000,8900000,2800000,0,2.107142857142857,13700000,0.4306569343065693
2,Graduate,No,7800000,22200000,10,735,9700000,4600000,23000000,6900000,1,2.8461538461538463,44200000,0.502262443438914
4,Graduate,Yes,2500000,8400000,12,761,6300000,1300000,8400000,1600000,1,3.36,17600000,0.4772727272727273
0,Graduate,No,4400000,10600000,20,653,6800000,4600000,16800000,5400000,1,2.409090909090909,33600000,0.31547619047619047
0,Not Graduate,No,7900000,30800000,4,726,5000000,14600000,23800000,5500000,1,3.8987341772151898,48900000,0.6298568507157464
1,Graduate,No,8900000,22600000,18,617,8400000,15500000,27900000,11700000,1,2.539325842696629,63500000,0.35590551181102364
0,Graduate,No,5600000,13400000,2,460,3400000,4100000,14800000,4100000,0,2.392857142857143,26400000,0.5075757575757576
1,Not Graduate,No,1400000,3300000,8,306,3200000,800000,2700000,800000,0,2.357142857142857,7500000,0.44
5,Graduate,Yes,500000,1400000,4,471,500000,100000,1300000,300000,0,2.8,2200000,0.6363636363636364
1,Graduate,Yes,5100000,15300000,4,628,6900000,3300000,17600000,2700000,1,3.0,30500000,0.5016393442622951
3,Graduate,No,9800000,25600000,10,404,24400000,6700000,37000000,11500000,0,2.6122448979591835,79600000,0.32160804020100503
2,Graduate,Yes,8600000,21600000,16,804,15400000,300000,26800000,7100000,1,2.511627906976744,49600000,0.43548387096774194
3,Not Graduate,No,1600000,3900000,20,804,900000,2500000,3200000,800000,1,2.4375,7400000,0.527027027027027
1,Not Graduate,Yes,2500000,6700000,2,502,3400000,2600000,9400000,1400000,0,2.68,16800000,0.39880952380952384
0,Graduate,No,9500000,22600000,6,861,24700000,13200000,29000000,5600000,1,2.3789473684210525,72500000,0.3117241379310345
2,Not Graduate,Yes,3000000,7800000,14,555,6600000,2700000,9600000,1700000,1,2.6,20600000,0.3786407766990291
0,Not Graduate,No,5100000,13600000,18,351,1700000,3700000,14400000,7600000,0,2.6666666666666665,27400000,0.49635036496350365
2,Not Graduate,Yes,7600000,23600000,6,358,20200000,2900000,22100000,10900000,0,3.1052631578947367,56100000,0.4206773618538324
5,Graduate,No,8800000,18800000,14,836,17300000,10100000,32700000,5400000,1,2.1363636363636362,65500000,0.2870229007633588
4,Not Graduate,Yes,1100000,2900000,4,554,2800000,1000000,4100000,1600000,1,2.6363636363636362,9500000,0.30526315789473685
3,Graduate,No,8700000,30500000,2,443,11800000,1800000,24600000,8100000,1,3.5057471264367814,46300000,0.6587473002159827
5,Not Graduate,No,6100000,23600000,4,725,17400000,5100000,15600000,4800000,1,3.8688524590163933,42900000,0.5501165501165501
2,Not Graduate,Yes,1900000,7000000,14,818,4800000,3500000,4500000,2100000,1,3.6842105263157894,14900000,0.4697986577181208
1,Not Graduate,No,9900000,38700000,6,670,19400000,12600000,35800000,6500000,1,3.909090909090909,74300000,0.5208613728129206
0,Graduate,No,5800000,21100000,6,414,7900000,2400000,16000000,5600000,0,3.6379310344827585,31900000,0.6614420062695925
2,Not Graduate,Yes,9500000,37000000,8,887,21800000,18300000,19200000,11700000,1,3.8947368421052633,71000000,0.5211267605633803
3,Graduate,Yes,7900000,26600000,12,409,17100000,1400000,22500000,8700000,0,3.367088607594937,49700000,0.5352112676056338
1,Not Graduate,Yes,1300000,4500000,14,679,2700000,2100000,3700000,1600000,1,3.4615384615384617,10100000,0.44554455445544555
4,Graduate,Yes,700000,2600000,18,478,600000,600000,2100000,300000,0,3.7142857142857144,3600000,0.7222222222222222
3,Graduate,No,600000,1200000,2,752,1100000,500000,2300000,700000,1,2.0,4600000,0.2608695652173913
0,Graduate,No,9400000,33000000,4,616,15400000,5000000,25100000,7800000,1,3.5106382978723403,53300000,0.6191369606003753
2,Not Graduate,Yes,3800000,12500000,14,842,3700000,6700000,14600000,5300000,1,3.289473684210526,30300000,0.41254125412541254
3,Graduate,Yes,7800000,26300000,20,840,1200000,11300000,24100000,5300000,1,3.371794871794872,41900000,0.6276849642004774
3,Graduate,Yes,7800000,27700000,6,430,2000000,8000000,26100000,5300000,0,3.551282051282051,41400000,0.6690821256038647
4,Not Graduate,No,2700000,7000000,4,351,1100000,2300000,8300000,2700000,0,2.5925925925925926,14400000,0.4861111111111111
5,Not Graduate,No,600000,2300000,4,347,0,0,1900000,200000,0,3.8333333333333335,2100000,1.0952380952380953
3,Not Graduate,Yes,8000000,28800000,10,576,18800000,7500000,16300000,11900000,1,3.6,54500000,0.5284403669724771
0,Not Graduate,Yes,4000000,11000000,8,799,4400000,6100000,14700000,4200000,1,2.75,29400000,0.3741496598639456
1,Not Graduate,Yes,3300000,10800000,2,550,6000000,3800000,11000000,4700000,1,3.272727272727273,25500000,0.4235294117647059
2,Graduate,No,5800000,13300000,4,878,8400000,5400000,18600000,4500000,1,2.293103448275862,36900000,0.3604336043360434
3,Graduate,Yes,2400000,4800000,12,895,6800000,300000,7300000,3300000,1,2.0,17700000,0.2711864406779661
4,Not Graduate,No,7600000,29700000,6,603,3200000,2900000,27800000,11000000,1,3.9078947368421053,44900000,0.6614699331848553
2,Not Graduate,Yes,2500000,6900000,12,325,5800000,1600000,6400000,3600000,0,2.76,17400000,0.39655172413793105
2,Graduate,No,3300000,11800000,4,393,5700000,3700000,6800000,2600000,1,3.5757575757575757,18800000,0.6276595744680851
3,Graduate,No,9800000,30300000,2,612,10700000,4600000,32100000,5600000,1,3.0918367346938775,53000000,0.5716981132075472
0,Graduate,Yes,1000000,3800000,8,553,2500000,1000000,2100000,1300000,1,3.8,6900000,0.5507246376811594
0,Not Graduate,Yes,2500000,8800000,14,389,7300000,1400000,8500000,3600000,0,3.52,20800000,0.4230769230769231
0,Graduate,No,1900000,6800000,4,782,100000,3400000,4900000,2400000,1,3.5789473684210527,10800000,0.6296296296296297
3,Graduate,No,3100000,8500000,12,493,8700000,5100000,12000000,2000000,0,2.7419354838709675,27800000,0.3057553956834532
5,Graduate,Yes,6000000,11900000,2,629,2500000,0,19200000,4200000,1,1.9833333333333334,25900000,0.4594594594594595
5,Not Graduate,No,6500000,21600000,10,419,1600000,10900000,22300000,6600000,0,3.3230769230769233,41400000,0.5217391304347826
2,Not Graduate,Yes,5900000,15800000,2,444,14300000,4300000,20300000,5500000,0,2.6779661016949152,44400000,0.35585585585585583
5,Not Graduate,Yes,6500000,15800000,16,301,9200000,9900000,17400000,7100000,0,2.4307692307692306,43600000,0.3623853211009174
0,Graduate,Yes,3800000,11200000,20,479,1100000,6400000,12000000,5400000,0,2.9473684210526314,24900000,0.4497991967871486
3,Not Graduate,Yes,3000000,11400000,10,424,1800000,4200000,10900000,1500000,0,3.8,18400000,0.6195652173913043
0,Graduate,No,4300000,16900000,18,469,200000,5800000,12000000,6200000,0,3.9302325581395348,24200000,0.6983471074380165
4,Not Graduate,Yes,3500000,8300000,2,897,7900000,5500000,12600000,1800000,1,2.3714285714285714,27800000,0.29856115107913667
3,Not Graduate,No,300000,500000,2,477,700000,200000,800000,400000,0,1.6666666666666667,2100000,0.23809523809523808
3,Not Graduate,Yes,600000,1400000,16,509,600000,300000,2400000,900000,0,2.3333333333333335,4200000,0.3333333333333333
0,Graduate,Yes,800000,1700000,4,752,2300000,1100000,3200000,400000,1,2.125,7000000,0.24285714285714285
0,Not Graduate,Yes,5600000,19100000,14,875,16700000,4700000,15100000,7700000,1,3.4107142857142856,44200000,0.4321266968325792
2,Not Graduate,Yes,1800000,3600000,4,343,3400000,1100000,6200000,1500000,0,2.0,12200000,0.29508196721311475
0,Graduate,No,6800000,20800000,20,819,16500000,11900000,26700000,8000000,1,3.0588235294117645,63100000,0.329635499207607
2,Graduate,Yes,4200000,16800000,2,433,3300000,0,14100000,3700000,1,4.0,21100000,0.7962085308056872
1,Not Graduate,Yes,200000,400000,6,768,300000,100000,600000,0,1,2.0,1000000,0.4
2,Graduate,Yes,8500000,31800000,6,714,17000000,900000,26600000,5600000,1,3.7411764705882353,50100000,0.6347305389221557
2,Not Graduate,Yes,2800000,10100000,16,531,2900000,2900000,7200000,4100000,0,3.607142857142857,17100000,0.5906432748538012
0,Graduate,Yes,3600000,8600000,6,529,3500000,3300000,11300000,5200000,0,2.388888888888889,23300000,0.36909871244635195
1,Not Graduate,No,6200000,19500000,20,448,3300000,7100000,22400000,8000000,0,3.1451612903225805,40800000,0.47794117647058826
1,Graduate,No,2700000,10000000,2,584,6500000,2700000,7700000,3400000,1,3.7037037037037037,20300000,0.49261083743842365
1,Graduate,No,6800000,22900000,4,501,3900000,9400000,17300000,4400000,1,3.3676470588235294,35000000,0.6542857142857142
2,Not Graduate,No,6300000,24500000,18,848,10200000,3500000,18200000,8200000,1,3.888888888888889,40100000,0.6109725685785536
4,Not Graduate,No,8800000,19100000,6,586,17600000,8800000,20600000,12400000,1,2.1704545454545454,59400000,0.32154882154882153
1,Graduate,No,5900000,13000000,2,386,16300000,5000000,12000000,3800000,0,2.2033898305084745,37100000,0.3504043126684636
5,Not Graduate,Yes,9800000,37900000,18,301,6700000,4900000,34300000,6200000,0,3.86734693877551,52100000,0.727447216890595
2,Graduate,No,3300000,8300000,6,653,4700000,3100000,8300000,4600000,1,2.515151515151515,20700000,0.40096618357487923
4,Graduate,Yes,300000,500000,14,448,700000,100000,800000,100000,0,1.6666666666666667,1700000,0.29411764705882354
1,Not Graduate,Yes,4800000,11600000,16,696,1400000,9400000,11800000,6500000,1,2.4166666666666665,29100000,0.39862542955326463
1,Graduate,No,7500000,28300000,16,707,9700000,1100000,16300000,6700000,1,3.7733333333333334,33800000,0.8372781065088757
2,Not Graduate,No,8600000,21700000,4,429,5500000,10800000,30900000,6000000,0,2.5232558139534884,53200000,0.40789473684210525
4,Not Graduate,No,8900000,21100000,6,631,4200000,200000,25800000,6200000,1,2.3707865168539324,36400000,0.5796703296703297
5,Not Graduate,Yes,9600000,29600000,4,446,22900000,3500000,36600000,13200000,1,3.0833333333333335,76200000,0.3884514435695538
0,Graduate,Yes,7700000,18100000,18,705,6100000,5100000,23800000,6300000,1,2.3506493506493507,41300000,0.43825665859564167
3,Not Graduate,Yes,7000000,15200000,2,709,10300000,12500000,20700000,4000000,1,2.1714285714285713,47500000,0.32
4,Not Graduate,Yes,7800000,19500000,14,739,1900000,9000000,20400000,4400000,1,2.5,35700000,0.5462184873949579
3,Graduate,No,5100000,11000000,6,336,-100000,5800000,11600000,7500000,0,2.156862745098039,24800000,0.4435483870967742
4,Graduate,No,9400000,32600000,4,898,18200000,4000000,22000000,10200000,1,3.4680851063829787,54400000,0.5992647058823529
4,Not Graduate,Yes,600000,2100000,6,558,1300000,1000000,2200000,300000,1,3.5,4800000,0.4375
3,Graduate,No,5100000,13300000,4,589,11200000,2700000,20200000,6100000,1,2.607843137254902,40200000,0.3308457711442786
2,Graduate,Yes,3800000,14400000,2,301,2300000,1400000,7600000,2400000,0,3.789473684210526,13700000,1.051094890510949
2,Not Graduate,Yes,5300000,21200000,14,516,2200000,5000000,20900000,7700000,0,4.0,35800000,0.5921787709497207
5,Not Graduate,No,1100000,3600000,12,315,1300000,700000,3100000,1400000,0,3.272727272727273,6500000,0.5538461538461539
3,Not Graduate,No,6400000,14400000,10,546,10600000,10000000,21200000,5100000,0,2.25,46900000,0.3070362473347548
0,Not Graduate,Yes,5100000,14500000,14,559,11000000,1100000,12300000,6000000,1,2.843137254901961,30400000,0.4769736842105263
3,Graduate,Yes,5300000,16900000,2,350,15800000,3100000,14300000,6800000,1,3.188679245283019,40000000,0.4225
1,Graduate,No,6700000,18700000,8,583,9300000,4100000,17100000,6900000,1,2.791044776119403,37400000,0.5
2,Not Graduate,No,4000000,9400000,8,874,4400000,3700000,10200000,4800000,1,2.35,23100000,0.4069264069264069
2,Not Graduate,Yes,3900000,11600000,8,808,5800000,3100000,12900000,5000000,1,2.9743589743589745,26800000,0.43283582089552236
1,Graduate,Yes,1600000,4900000,16,487,4300000,1100000,3900000,2000000,0,3.0625,11300000,0.4336283185840708
3,Graduate,No,2700000,7800000,14,870,5400000,5300000,5700000,2100000,1,2.888888888888889,18500000,0.42162162162162165
3,Graduate,No,1400000,3800000,8,840,1700000,200000,5300000,1500000,1,2.7142857142857144,8700000,0.4367816091954023
4,Not Graduate,Yes,8000000,19200000,18,682,2500000,8900000,19000000,5300000,1,2.4,35700000,0.5378151260504201
3,Graduate,Yes,8200000,28900000,10,668,23800000,4500000,28700000,10900000,1,3.524390243902439,67900000,0.4256259204712813
5,Graduate,Yes,4800000,10300000,8,781,4800000,6800000,11100000,4300000,1,2.1458333333333335,27000000,0.3814814814814815
